index,Bin_ID,Other_bin,count_raw,norm_val,count_normed
205,1,5,41,9409.61144462,385794.069229
206,1,6,57,8948.46605354,510062.565052
207,1,7,44,8990.29765864,395573.09698
208,1,8,42,9215.28297641,387041.885009
209,1,9,45,9944.31631776,447494.234299
210,1,10,52,9876.97716534,513602.812597
211,1,11,43,9573.98284379,411681.262283
212,1,12,47,9996.70113859,469844.953514
213,1,13,29,10498.6752363,304461.581854
214,1,14,31,10881.4767922,337325.780559
215,1,15,32,10992.9612414,351774.759726
216,1,16,28,11312.3293781,316745.222586
217,1,17,26,11521.3680727,299555.569889
218,1,18,28,11782.5872158,329912.442041
219,1,19,33,11901.3762175,392745.415178
220,1,20,33,12123.608782,400079.089805
221,1,21,30,11891.153172,356734.595159
222,1,22,29,11658.1906062,338087.527581
223,1,23,28,11733.9706263,328551.177538
224,1,24,15,12503.1146556,187546.719834
225,1,25,32,12195.5133962,390256.428678
226,1,26,28,12440.5631262,348335.767533
227,1,27,37,12734.6652868,471182.615611
228,1,28,28,12857.920753,360021.781084
229,1,29,28,12057.3653582,337606.230029
230,1,30,26,11378.1980088,295833.14823
231,1,31,28,11513.9974047,322391.927332
232,1,32,21,11783.8480773,247460.809623
233,1,33,27,11700.7026188,315918.970709
234,1,34,30,11962.6876687,358880.63006
235,1,35,36,11932.0070297,429552.253068
236,1,36,27,12596.5245322,340106.16237
237,1,37,23,12513.8496845,287818.542744
238,1,38,32,12476.5646767,399250.069654
239,1,39,29,12169.7698229,352923.324864
240,1,40,30,11922.2429335,357667.288006
241,1,41,26,11804.5974791,306919.534455
242,1,42,33,11316.5161871,373445.034175
243,1,43,31,10980.8126375,340405.191762
244,1,44,42,11026.2254991,463101.470964
245,1,45,41,10698.6960392,438646.537609
246,1,46,29,10434.5107262,302600.811061
247,1,47,31,10323.1468267,320017.551628
248,1,48,33,10521.8528829,347221.145136
249,1,49,30,10533.446408,316003.392241
250,1,50,27,10519.4204808,284024.352982
251,1,51,35,10287.7991939,360072.971787
252,1,52,43,10538.6602402,453162.39033
253,1,53,45,10522.7472532,473523.626394
254,1,54,38,10749.786447,408491.884985
255,1,55,33,10533.4294564,347603.17206
256,1,56,37,10777.8535414,398780.58103
257,1,57,36,10984.0292146,395425.051724
258,1,58,37,11300.9283535,418134.349078
259,1,59,37,10759.9472663,398118.048855
260,1,60,38,9960.6703272,378505.472433
261,1,61,42,9333.62069761,392012.0693
262,1,62,48,9123.35783223,437921.175947
263,1,63,41,8946.45781907,366804.770582
264,1,64,68,8830.74733403,600490.818714
265,1,65,44,8764.18588706,385624.179031
266,1,66,40,8716.80596984,348672.238793
267,1,67,50,8630.76682856,431538.341428
268,1,68,53,8689.54066659,460545.655329
269,1,69,46,8595.68928636,395401.707172
270,1,70,64,8613.93977443,551292.145563
271,1,71,38,9381.91871365,356512.911119
272,1,72,38,9732.44909985,369833.065794
273,1,73,48,9945.13942643,477366.692469
274,1,74,33,9912.22096158,327103.291732
275,1,75,52,8970.65978566,466474.308854
276,1,76,47,8290.04553965,389632.140363
277,1,77,70,8016.31185174,561141.829622
278,1,78,72,7839.06948773,564413.003117
279,1,79,56,7682.17015555,430201.528711
